#  ΩΛ = 0.73, Ωm = 0.27, and H0 = 70 km   s-1 Mpc-1 (Komatsu et al. 2011)
# The total absorption path length probed by our statistical sample 
#   over z = 2–3.5 is Δχ ≈ 45 000 with an average redshift ⟨z⟩ = 2.5.
# N1       N2           f(N)orig f(N)corr sigma  
#20.00  20.10  -21.20  -21.44  0.02   :: JXP -- Simply not a believable value
20.10  20.20  -21.37  -21.47  0.02
20.20  20.30  -21.55  -21.59  0.02
20.30  20.40  -21.66  -21.68  0.02
20.40  20.50  -21.81  -21.82  0.02
20.50  20.60  -21.97  -21.98  0.02
20.60  20.70  -22.13  -22.14  0.03
20.70  20.80  -22.30  -22.32  0.03
20.80  20.90  -22.49  -22.51  0.03
20.90  21.00  -22.63  -22.67  0.03
21.00  21.10  -22.85  -22.91  0.04
21.10  21.20  -23.04  -23.11  0.04
21.20  21.30  -23.19  -23.28  0.05
21.30  21.40  -23.46  -23.58  0.06
21.40  21.50  -23.66  -23.81  0.07
21.50  21.60  -23.83  -24.01  0.08
21.60  21.70  -24.20  -24.20  0.08
21.70  21.80  -24.62  -24.62  0.12
21.80  21.90  -24.85  -24.85  0.18
21.90  22.00  -25.60  -25.60  0.53
22.00  22.20  -26.05  -26.05  0.53
22.20  22.40  -26.25  -26.25  0.53
